Filename,ID,Microscope,Objective,Mag,Accession,Ear /Bundles,Ear row,Ear Position,Spk position,Position type,taxon.code,View,Charred?,Mixed sample?
9477_New_20703_S16_Late_1x1_l_c,9477,Nikon,1x,1,10830,20703,,Late,S16,,,l,c,Y
9478_New_20703_S17_Late_1x1_d_c,9478,Nikon,1x,1,10830,20703,,Late,S17,,,d,c,Y
9479_New_20703_S17_Late_1x1_l_c,9479,Nikon,1x,1,10830,20703,,Late,S17,,,l,c,Y
9506_NotID_20703_S5_Late_1x1_d_c,9506,Nikon,1x,1,10830,20703,,Late,S5,,,d,c,Y
9507_NotID_20703_S5_Arch_New_1x1_l_c,9507,Nikon,1x,1,10830,20703,,Late,S5,,,l,c,Y
9508_NotID_20703_S6_Arch_New_1x1_d_c,9508,Nikon,1x,1,10830,20703,,Late,S6,,,d,c,Y
9509_NotID_20703_S6_Arch_New_1x1_l_c,9509,Nikon,1x,1,10830,20703,,Late,S6,,,l,c,Y
9526_NotID_1588_S1_Arch_New_1x1_d_c,9526,Nikon,1x,1,295,1588,,Early,S1,,,d,c,Y
9527_NotID_1588_S1_Arch_New_1x1_l_c,9527,Nikon,1x,1,295,1588,,Early,S1,,,l,c,Y
9532_NotID_1588_S4_Arch_New_1x1_d_c,9532,Nikon,1x,1,295,1588,,Early,S4,,,d,c,Y
9533_NotID_1588_S4_Arch_New_1x1_l_c,9533,Nikon,1x,1,295,1588,,Early,S4,,,l,c,Y
9534_NotID_1588_S5_Arch_New_1x1_d_c,9534,Nikon,1x,1,295,1588,,Early,S5,,,d,c,Y
9535_NotID_1588_S5_Arch_New_1x1_l_c,9535,Nikon,1x,1,295,1588,,Early,S5,,,l,c,Y
9538_NotID_1588_S7_Arch_New_1x1_d_c,9538,Nikon,1x,1,295,1588,,Early,S7,,,d,c,Y
9539_NotID_1588_S7_Arch_New_1x1_l_c,9539,Nikon,1x,1,295,1588,,Early,S7,,,l,c,Y
9540_NotID_1588_S8_Arch_New_1x1_d_c,9540,Nikon,1x,1,295,1588,,Early,S8,,,d,c,Y
9541_NotID_1588_S8_Arch_New_1x1_l_c,9541,Nikon,1x,1,295,1588,,Early,S8,,,l,c,Y
9544_NotID_1588_S10_Arch_New_1x1_d_c,9544,Nikon,1x,1,295,1588,,Early,S10,,,d,c,Y
9545_NotID_1588_S10_Arch_New_1x1_l_c,9545,Nikon,1x,1,295,1588,,Early,S10,,,l,c,Y
9552_NotID_1588_S14_Arch_New_1x1_d_c,9552,Nikon,1x,1,295,1588,,Early,S14,,,d,c,Y
9553_NotID_1588_S14_Arch_New_1x1_l_c,9553,Nikon,1x,1,295,1588,,Early,S14,,,l,c,Y
9554_2S_GW_1084_S1_Arch_New_1x1_d_c,9554,Nikon,1x,1,8328,1084,,Late,S1,,,d,c,Y
9555_2S_GW_1084_S1_Arch_New_1x1_l_c,9555,Nikon,1x,1,8328,1084,,Late,S1,,,l,c,Y
9566_Emmer_16268_S1_Arch_New_1x1_d_c,9566,Nikon,1x,1,7861,16268,,Late,S1,,,d,c,Y
9567_Emmer_16268_S1_Arch_New_1x1_l_c,9567,Nikon,1x,1,7861,16268,,Late,S1,,,l,c,Y
9580_Emmer_31320_S1_Arch_New_1x1_d_c,9580,Nikon,1x,1,12089,31320,,Late,S1,,,d,c,Y
9581_Emmer_31320_S1_Arch_New_1x1_l_c,9581,Nikon,1x,1,12089,31320,,Late,S1,,,l,c,Y
9584_Mixed_31320_S2_Arch_New_1x1_d_c,9584,Nikon,1x,1,12089,31320,,Late,S2,,,d,c,Y
9585_Mixed_31320_S2_Arch_New_1x1_l_c,9585,Nikon,1x,1,12089,31320,,Late,S2,,,l,c,Y
9586_Emmer_31320_S2_Arch_New_1x1_d_c,9586,Nikon,1x,1,12089,31320,,Late,S2,,,d,c,Y
9587_Emmer_31320_S2_Arch_New_1x1_l_c,9587,Nikon,1x,1,12089,31320,,Late,S2,,,l,c,Y
9588_Emmer_31320_S3_Arch_New_1x1_d_c,9588,Nikon,1x,1,12089,31320,,Late,S3,,,d,c,Y
9589_Emmer_31320_S3_Arch_New_1x1_l_c,9589,Nikon,1x,1,12089,31320,,Late,S3,,,l,c,Y
9596_Mixed_31320_S6_Arch_New_1x1_d_c,9596,Nikon,1x,1,12089,31320,,Late,S6,,,d,c,Y
9597_Mixed_31320_S6_Arch_New_1x1_l_c,9597,Nikon,1x,1,12089,31320,,Late,S6,,,l,c,Y
9602_2gr.einkorn_4917_S1_Arch_New_1x1_d_c,9602,Nikon,1x,1,2985,4917,,Early,S1,,,d,c,Y
9603_2gr.einkorn_4917_S1_Arch_New_1x1_l_c,9603,Nikon,1x,1,2985,4917,,Early,S1,,,l,c,Y
9604_Emmer_1612_S1_Arch_New_1x1_d_c,9604,Nikon,1x,1,345,1612,,Early,S1,,,d,c,Y
9605_Emmer_1612_S1_Arch_New_1x1_l_c,9605,Nikon,1x,1,345,1612,,Early,S1,,,l,c,Y
9606_2gr.einkorn_1612_S1_Arch_New_1x1_d_c,9606,Nikon,1x,1,345,1612,,Early,S1,,,d,c,Y
9607_2gr.einkorn_1612_S1_Arch_New_1x1_l_c,9607,Nikon,1x,1,345,1612,,Early,S1,,,l,c,Y
9608_Emmer_2032_S1_Early_1x1_d_c,9608,Nikon,1x,1,830,2032,,Early,S1,,,d,c,Y
9609_Emmer_2032_S1_Early_1x1_l_c,9609,Nikon,1x,1,830,2032,,Early,S1,,,l,c,Y
9610_EmmerORNew_4937_S1_Early_1x1_d_c,9610,Nikon,1x,1,3099,4937,,Early,S1,,,d,c,Y
9611_EmmerORNew_4937_S1_Early_1x1_l_c,9611,Nikon,1x,1,3099,4937,,Early,S1,,,l,c,Y
9614_Mixed_23214_S1_Early_1x1_d_c,9614,Nikon,1x,1,13325,23214,,Early,S1,,,d,c,Y
9615_Mixed_23214_S1_Early_1x1_l_c,9615,Nikon,1x,1,13325,23214,,Early,S1,,,l,c,Y
9616_2S_GW_23203_S1_Early_1x1_d_c,9616,Nikon,1x,1,13253,23203,,Early,S1,,,d,c,Y
9617_2S_GW_23203_S1_Early_1x1_l_c,9617,Nikon,1x,1,13253,23203,,Early,S1,,,l,c,Y
9618_Emmer_4256_S1_Early_1x1_d_c,9618,Nikon,1x,1,2535,4256,,Early,S1,,,d,c,Y
9619_Emmer_4256_S1_Early_1x1_l_c,9619,Nikon,1x,1,2535,4256,,Early,S1,,,l,c,Y
9622_NotID_1664_S1_Early_1x1_d_c,9622,Nikon,1x,1,513,1664,,Early,S1,,,d,c,Y
9623_NotID_1664_S1_Early_1x1_l_c,9623,Nikon,1x,1,513,1664,,Early,S1,,,l,c,Y
9624_cf.New_14132_S1_Late_1x1_d_c,9624,Nikon,1x,1,7107,14132,,Late,S1,,,d,c,Y
9625_cf.New_14132_S1_Late_1x1_l_c,9625,Nikon,1x,1,7107,14132,,Late,S1,,,l,c,Y
9626_NotID_14132_S1_Late_1x1_d_c,9626,Nikon,1x,1,7107,14132,,Late,S1,,,d,c,Y
9627_NotID_14132_S1_Late_1x1_l_c,9627,Nikon,1x,1,7107,14132,,Late,S1,,,l,c,Y
9628_NotID_14132_S2_Late_1x1_d_c,9628,Nikon,1x,1,7107,14132,,Late,S2,,,d,c,Y
9629_NotID_14132_S2_Late_1x1_l_c,9629,Nikon,1x,1,7107,14132,,Late,S2,,,l,c,Y
9630_NotID_14132_S3_Late_1x1_d_c,9630,Nikon,1x,1,7107,14132,,Late,S3,,,d,c,Y
9631_NotID_14132_S3_Late_1x1_l_c,9631,Nikon,1x,1,7107,14132,,Late,S3,,,l,c,Y
9632_NotID_14132_S4_Late_1x1_d_c,9632,Nikon,1x,1,7107,14132,,Late,S4,,,d,c,Y
9633_NotID_14132_S4_Late_1x1_l_c,9633,Nikon,1x,1,7107,14132,,Late,S4,,,l,c,Y
9634_NotID_14132_S5_Late_1x1_d_c,9634,Nikon,1x,1,7107,14132,,Late,S5,,,d,c,Y
9635_NotID_14132_S5_Late_1x1_l_c,9635,Nikon,1x,1,7107,14132,,Late,S5,,,l,c,Y
9636_NotID_14132_S6_Late_1x1_d_c,9636,Nikon,1x,1,7107,14132,,Late,S6,,,d,c,Y
9637_NotID_14132_S6_Late_1x1_l_c,9637,Nikon,1x,1,7107,14132,,Late,S6,,,l,c,Y
9638_NotID_14132_S7_Late_1x1_d_c,9638,Nikon,1x,1,7107,14132,,Late,S7,,,d,c,Y
9639_NotID_14132_S7_Late_1x1_l_c,9639,Nikon,1x,1,7107,14132,,Late,S7,,,l,c,Y
9640_NotID_14132_S8_Late_1x1_d_c,9640,Nikon,1x,1,7107,14132,,Late,S8,,,d,c,Y
9641_NotID_14132_S8_Late_1x1_l_c,9641,Nikon,1x,1,7107,14132,,Late,S8,,,l,c,Y
9642_NotID_14132_S9_Late_1x1_d_c,9642,Nikon,1x,1,7107,14132,,Late,S9,,,d,c,Y
9643_NotID_14132_S9_Late_1x1_l_c,9643,Nikon,1x,1,7107,14132,,Late,S9,,,l,c,Y
9650_Emmer_17082_S1_Late_1x1_d_c,9650,Nikon,1x,1,8326,17082,,Late,S1,,,d,c,Y
9651_Emmer_17082_S1_Late_1x1_l_c,9651,Nikon,1x,1,8326,17082,,Late,S1,,,l,c,Y
9654_New_17082_S1_Late_1x1_d_c,9654,Nikon,1x,1,8326,17082,,Late,S1,,,d,c,Y
9655_New_17082_S1_Late_1x1_l_c,9655,Nikon,1x,1,8326,17082,,Late,S1,,,l,c,Y
9656_New_17082_S2_Late_1x1_d_c,9656,Nikon,1x,1,8326,17082,,Late,S2,,,d,c,Y
9657_New_17082_S2_Late_1x1_l_c,9657,Nikon,1x,1,8326,17082,,Late,S2,,,l,c,Y
9660_New_17082_S4_Late_1x1_d_c,9660,Nikon,1x,1,8326,17082,,Late,S4,,,d,c,Y
9661_New_17082_S4_Late_1x1_l_c,9661,Nikon,1x,1,8326,17082,,Late,S4,,,l,c,Y
9662_NotID_17082_S1_Late_1x1_d_c,9662,Nikon,1x,1,8326,17082,,Late,S1,,,d,c,Y
9663_NotID_17082_S1_Late_1x1_l_c,9663,Nikon,1x,1,8326,17082,,Late,S1,,,l,c,Y
9664_NotID_22334_S1_Late_1x1_d_c,9664,Nikon,1x,1,12576,22334,,Early,S1,,,d,c,Y
9665_NotID_22334_S1_Late_1x1_l_c,9665,Nikon,1x,1,12576,22334,,Early,S1,,,l,c,Y
9666_NotID_22334_S2_Late_1x1_d_c,9666,Nikon,1x,1,12576,22334,,Early,S2,,,d,c,Y
9667_NotID_22334_S2_Late_1x1_l_c,9667,Nikon,1x,1,12576,22334,,Early,S2,,,l,c,Y
9668_NotID_32405_S1_Early_1x1_d_c,9668,Nikon,1x,1,12663,32405,,Early,S1,,,d,c,Y
9669_NotID_32405_S1_Early_1x1_l_c,9669,Nikon,1x,1,12663,32405,,Early,S1,,,l,c,Y
9670_NotID_22713_S1_Late_1x1_d_c,9670,Nikon,1x,1,11856,22713,,Late,S1,,,d,c,Y
9671_New_22713_S1_Late_1x1_l_c,9671,Nikon,1x,1,11856,22713,,Late,S1,,,l,c,Y
9678_New_22713_S5_Late_1x1_d_c,9678,Nikon,1x,1,11856,22713,,Late,S5,,,d,c,Y
9679_New_22713_S5_Late_1x1_l_c,9679,Nikon,1x,1,11856,22713,,Late,S5,,,l,c,Y
9684_cf.Emmer_22713_S2_Late_1x1_d_c,9684,Nikon,1x,1,11856,22713,,Late,S2,,,d,c,Y
9685_cf.Emmer_22713_S2_Late_1x1_l_c,9685,Nikon,1x,1,11856,22713,,Late,S2,,,l,c,Y
9686_New_22823_S1_Late_1x1_d_c,9686,Nikon,1x,1,12296,22823,,Late,S1,,,d,c,Y
9687_New_22823_S1_Late_1x1_l_c,9687,Nikon,1x,1,12296,22823,,Late,S1,,,l,c,Y
9688_Emmer_22823_S1_Late_1x1_d_c,9688,Nikon,1x,1,12296,22823,,Late,S1,,,d,c,Y
9689_Emmer_22823_S1_Late_1x1_l_c,9689,Nikon,1x,1,12296,22823,,Late,S1,,,l,c,Y
9690_NotID_32453_S1_Early_1x1_d_c,9690,Nikon,1x,1,12755,32453,,Early,S1,,,d,c,Y
9691_NotID_32453_S1_Early_1x1_l_c,9691,Nikon,1x,1,12755,32453,,Early,S1,,,l,c,Y
9692_Emmer_22867_S1_Late_1x1_d_c,9692,Nikon,1x,1,12317,22867,,Late,S1,,,d,c,Y
9693_Emmer_22867_S1_Late_1x1_l_c,9693,Nikon,1x,1,12317,22867,,Late,S1,,,l,c,Y
9694_Emmer_22867_S2_Late_1x1_d_c,9694,Nikon,1x,1,12317,22867,,Late,S2,,,d,c,Y
9695_Emmer_22867_S2_Late_1x1_l_c,9695,Nikon,1x,1,12317,22867,,Late,S2,,,l,c,Y
9698_NotID_22867_S1_Late_1x1_d_c,9698,Nikon,1x,1,12317,22867,,Late,S1,,,d,c,Y
9699_NotID_22867_S1_Late_1x1_l_c,9699,Nikon,1x,1,12317,22867,,Late,S1,,,l,c,Y
9704_Emmer_20403_S1_Middle_1x1_d_c,9704,Nikon,1x,1,9798,20403,,Middle,S1,,,d,c,Y
