Filename,ID,Microscope,Objective,Mag,Accession,Ear /Bundles,Ear row,Ear Position,Spk position,Position type,taxon.code,View,Charred?
9416_New_22656_S26_Middle_1x1_d_c,9416,Nikon,1x,1,11996,22656,,Middle,S26,,Arch_New,d,c
9417_New_22656_S26_Middle_1x1_l_c,9417,Nikon,1x,1,11996,22656,,Middle,S26,,Arch_New,l,c
9418_New_22656_S27_Middle_1x1_d_c,9418,Nikon,1x,1,11996,22656,,Middle,S27,,Arch_New,d,c
9419_New_22656_S27_Middle_1x1_l_c,9419,Nikon,1x,1,11996,22656,,Middle,S27,,Arch_New,l,c
9432_cf. 2gr einkorn_4869_S1_Early_1x1_d_c,9432,Nikon,1x,1,3151,4869,,Early,S1,,Arch_New,d,c
9433_cf. 2gr einkorn_4869_S1_Early_1x1_l_c,9433,Nikon,1x,1,3151,4869,,Early,S1,,Arch_New,l,c
9434_indet_4869_S2_Early_1x1_d_c,9434,Nikon,1x,1,3151,4869,,Early,S2,,Arch_New,d,c
9435_indet_4869_S2_Early_1x1_l_c,9435,Nikon,1x,1,3151,4869,,Early,S2,,Arch_New,l,c
9440_EmmerORNew_22834_S4_Late_1x1_d_c,9440,Nikon,1x,1,12155,22834,,Late,S4,,Arch_New,d,c
9441_EmmerORNew_22834_S4_Late_1x1_l_c,9441,Nikon,1x,1,12155,22834,,Late,S4,,Arch_New,l,c
9446_2gr einkorn_3705_S2_Early_1x1_d_c,9446,Nikon,1x,1,1804,3705,,Early,S2,,Arch_New,d,c
9447_2gr einkorn_3705_S2_Early_1x1_l_c,9447,Nikon,1x,1,1804,3705,,Early,S2,,Arch_New,l,c
9468_Emmer_14305_S2_Late_1x1_d_c,9468,Nikon,1x,1,7104,14305,,Late,S2,,Arch_New,d,c
9469_Emmer_14305_S2_Late_1x1_l_c,9469,Nikon,1x,1,7104,14305,,Late,S2,,Arch_New,l,c
9470_NoID_14305_S1_Late_1x1_d_c,9470,Nikon,1x,1,7104,14305,,Late,S1,,Arch_New,d,c
9471_NoID_14305_S1_Late_1x1_l_c,9471,Nikon,1x,1,7104,14305,,Late,S1,,Arch_New,l,c
9472_New_14305_S1_Late_1x1_d_c,9472,Nikon,1x,1,7104,14305,,Late,S1,,Arch_New,d,c
9473_New_14305_S1_Late_1x1_l_c,9473,Nikon,1x,1,7104,14305,,Late,S1,,Arch_New,l,c
9476_New_20703_S16_Late_1x1_d_c,9476,Nikon,1x,1,10830,20703,,Late,S16,,Arch_New,d,c
9477_New_20703_S16_Late_1x1_l_c,9477,Nikon,1x,1,10830,20703,,Late,S16,,Arch_New,l,c
9478_New_20703_S17_Late_1x1_d_c,9478,Nikon,1x,1,10830,20703,,Late,S17,,Arch_New,d,c
9479_New_20703_S17_Late_1x1_l_c,9479,Nikon,1x,1,10830,20703,,Late,S17,,Arch_New,l,c
9526_NotID_1588_S1_Early_1x1_d_c,9526,Nikon,1x,1,295,1588,,Early,S1,,Arch_New,d,c
9527_NotID_1588_S1_Early_1x1_l_c,9527,Nikon,1x,1,295,1588,,Early,S1,,Arch_New,l,c
9534_NotID_1588_S5_Early_1x1_d_c,9534,Nikon,1x,1,295,1588,,Early,S5,,Arch_New,d,c
9535_NotID_1588_S5_Early_1x1_l_c,9535,Nikon,1x,1,295,1588,,Early,S5,,Arch_New,l,c
9538_NotID_1588_S7_Early_1x1_d_c,9538,Nikon,1x,1,295,1588,,Early,S7,,Arch_New,d,c
9539_NotID_1588_S7_Early_1x1_l_c,9539,Nikon,1x,1,295,1588,,Early,S7,,Arch_New,l,c
9540_NotID_1588_S8_Early_1x1_d_c,9540,Nikon,1x,1,295,1588,,Early,S8,,Arch_New,d,c
9541_NotID_1588_S8_Early_1x1_l_c,9541,Nikon,1x,1,295,1588,,Early,S8,,Arch_New,l,c
9552_NotID_1588_S14_Early_1x1_d_c,9552,Nikon,1x,1,295,1588,,Early,S14,,Arch_New,d,c
9553_NotID_1588_S14_Early_1x1_l_c,9553,Nikon,1x,1,295,1588,,Early,S14,,Arch_New,l,c
9554_2S_GW_1084_S1_Late_1x1_d_c,9554,Nikon,1x,1,8328,1084,,Late,S1,,Arch_New,d,c
9555_2S_GW_1084_S1_Late_1x1_l_c,9555,Nikon,1x,1,8328,1084,,Late,S1,,Arch_New,l,c
9584_Mixed_31320_S2_Late_1x1_d_c,9584,Nikon,1x,1,12089,31320,,Late,S2,,Arch_New,d,c
9585_Mixed_31320_S2_Late_1x1_l_c,9585,Nikon,1x,1,12089,31320,,Late,S2,,Arch_New,l,c
9586_Emmer_31320_S2_Late_1x1_d_c,9586,Nikon,1x,1,12089,31320,,Late,S2,,Arch_New,d,c
9587_Emmer_31320_S2_Late_1x1_l_c,9587,Nikon,1x,1,12089,31320,,Late,S2,,Arch_New,l,c
9602_2gr.einkorn_4917_S1_Early_1x1_d_c,9602,Nikon,1x,1,2985,4917,,Early,S1,,Arch_New,d,c
